error-sigma,EVII,expected_prior_utility,expected_preposterior_utility,n_prior_samples,n_measurement_samples,prepost_std_error
EVPI,30233.7948165423,-819102.3161863969,-788868.5213698546,1000000,N/A,0.014892080869750749
0.125,15368.613048439845,-819005.1370615142,-803636.5240130743,500000,500000,0.026733573217152796
0.085,19740.86818877561,-819130.2600884819,-799389.3918997063,500000,500000,0.028007357299678536
0.05,24200.045564338216,-819107.8602580148,-794907.8146936765,500000,500000,0.02847255559550898
0.025,27673.6476409632,-819163.611998982,-791489.9643580188,500000,500000,0.02976672120543811
